258.99	255.74	59.42	
91.72	289.23	280.10	
177.59	74.10	239.86	
249.84	298.71	293.99	
287.57	133.22	283.02	
55.73	124.18	60.28	
23.79	89.22	110.74	
115.65	104.07	194.88	
257.74	212.75	248.81	
141.86	85.27	128.32	
96.51	48.52	36.93	
195.91	233.76	253.57	
221.04	217.02	176.62	
266.99	233.09	168.83	
202.57	169.26	33.07	
267.15	76.70	127.61	
31.59	43.28	176.03	
278.29	78.22	153.67	
295.54	283.26	266.18	
141.07	239.78	250.46	
166.86	65.86	283.86	
85.96	248.07	66.43	
287.28	87.17	129.65	
167.22	24.79	125.51	
230.30	273.31	77.70	
227.50	59.26	150.24	
249.40	183.01	266.82	
167.75	169.05	149.26	
27.03	86.34	167.05	
159.53	226.80	25.23	
85.99	225.15	114.75	
50.64	270.96	59.66	
123.83	283.00	162.88	
113.80	201.34	201.86	
138.62	150.11	200.11	
167.40	61.72	125.90	
64.58	197.08	187.31	
173.32	205.66	136.27	
125.16	245.28	77.84	
181.69	104.50	136.02	
112.63	296.24	244.41	
164.99	261.80	274.15	
113.41	152.87	24.40	
115.06	162.24	58.42	
211.13	225.86	33.36	
185.01	119.88	269.01	
90.98	125.38	176.26	
96.04	55.38	233.68	
72.69	185.17	245.40	
33.19	220.06	261.51	
152.54	148.81	185.40	
238.83	130.77	212.79	
249.60	201.58	85.52	
172.62	38.72	205.80	
105.80	249.79	82.81	
257.88	283.05	258.16	
255.77	129.73	180.57	
250.63	110.25	209.20	
237.32	123.00	101.22	
244.50	249.57	143.63	
31.83	261.33	294.55	
37.75	155.61	231.54	
79.57	275.09	148.48	
251.92	120.39	109.66	
264.48	52.16	172.71	
220.39	168.90	150.32	
280.41	21.27	42.61	
114.96	144.38	290.07	
291.29	172.41	215.57	
63.92	253.31	218.08	
216.20	130.95	80.06	
230.45	172.66	106.41	
22.50	66.59	224.03	
22.20	177.54	117.91	
89.82	138.56	248.10	
244.86	60.90	106.46	
130.68	149.37	197.00	
149.81	44.05	283.84	
154.99	75.88	172.83	
295.29	251.34	182.85	
219.75	263.49	22.60	
153.27	240.41	51.88	
207.77	282.13	74.09	
70.01	216.13	288.19	
144.61	166.01	84.41	
57.54	104.76	228.31	
107.02	87.99	58.19	
54.91	143.04	102.97	
272.48	109.24	183.77	
43.98	197.10	161.17	
264.57	229.90	260.14	
232.03	184.81	132.45	
257.27	282.46	199.52	
115.98	47.11	261.56	
66.61	270.84	286.31	
36.44	133.47	128.65	
238.42	260.72	166.52	
108.72	190.19	60.62	
167.58	83.74	188.97	
157.80	280.82	114.05	
